dates,India.Google_GroceryMobility.data,India.Google_ResidentialMobility.data,India.Google_TransitStationsMobility.data,India.Google_ParksMobility.data,India.Google_WorkplacesMobility.data,India.Google_RetailMobility.data
2020-04-12,49.130434782608695,120.70588235294117,41.56521739130435,54.689655172413794,70.27586206896552,27.47826086956522
2020-04-13,48.041666666666664,126.6470588235294,39.291666666666664,57.125,46.10344827586207,27.85
2020-04-14,46.36,126.66666666666667,40.291666666666664,59.310344827586206,41.64,27.904761904761905
2020-04-15,50.25,124.76190476190476,42.88,57.96774193548387,50.84,28.157894736842106
2020-04-16,60.666666666666664,124.47826086956522,45.95652173913044,50.12,47.81481481481482,20.875
2020-04-17,58.4,126.5,44.52173913043478,44.84615384615385,50.22222222222222,20.294117647058822
2020-04-18,53.17391304347826,123.94736842105263,45.458333333333336,50.84375,53.89655172413793,19.22222222222222
2020-04-19,56.791666666666664,119.47058823529412,46.833333333333336,50.142857142857146,71.93103448275862,20.058823529411764
2020-04-20,59.22727272727273,125.77777777777777,44.34615384615385,55.8,52.11538461538461,20.75
2020-04-21,58.541666666666664,124.4090909090909,47.28,57.59375,51.142857142857146,21.2
2020-04-22,59.2,124.66666666666667,44.04,53.27272727272727,51.758620689655174,19.88235294117647
2020-04-23,59.23076923076923,125.77777777777777,46.5,54.67741935483871,51.035714285714285,20.444444444444443
2020-04-24,61.291666666666664,125.71428571428571,48.43478260869565,53.81818181818182,52.666666666666664,21.0625
2020-04-25,58.44,124.11764705882354,48.2,52.166666666666664,55.5,20.166666666666668
2020-04-26,59.17391304347826,119.38888888888889,46.391304347826086,52.714285714285715,74.73529411764706,20.263157894736842
2020-04-27,61.4,126.04761904761905,45.95454545454545,54.25806451612903,52.2962962962963,20.72222222222222
2020-04-28,62.90909090909091,124.66666666666667,49.833333333333336,55.96774193548387,51.89655172413793,21.6
2020-04-29,64.0,124.5,47.07692307692308,55.0,54.793103448275865,21.42105263157895
2020-04-30,64.46428571428571,125.04545454545455,48.785714285714285,57.354838709677416,55.13333333333333,22.823529411764707
2020-05-01,65.25,124.6,50.27272727272727,53.5,54.310344827586206,22.63157894736842
2020-05-02,62.925925925925924,123.9,52.42857142857143,54.15151515151515,62.42857142857143,21.5
2020-05-03,63.80769230769231,118.38888888888889,48.16,50.96774193548387,78.83333333333333,22.285714285714285
2020-05-04,73.77777777777777,120.88888888888889,53.666666666666664,55.483870967741936,62.333333333333336,27.105263157894736
2020-05-05,77.04166666666667,122.3157894736842,53.266666666666666,58.72727272727273,62.23076923076923,27.941176470588236
2020-05-06,77.16666666666667,119.91304347826087,54.84615384615385,54.09375,60.793103448275865,27.55
2020-05-07,73.8,122.18181818181819,52.464285714285715,52.64705882352941,56.21739130434783,27.105263157894736
