dates,Japan.Google_GroceryMobility.data,Japan.Google_ResidentialMobility.data,Japan.Google_TransitStationsMobility.data,Japan.Google_ParksMobility.data,Japan.Google_WorkplacesMobility.data,Japan.Google_RetailMobility.data
2020-07-17,97.0,107.0,78.0,85.0,88.0,86.0
2020-07-18,100.0,106.0,74.0,85.0,89.0,87.0
2020-07-19,100.0,105.0,72.0,106.0,90.0,87.0
2020-07-20,101.0,105.0,80.0,96.0,91.0,89.0
2020-07-21,103.0,106.0,81.0,100.0,90.0,93.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,100.0,107.0,79.0,92.0,88.0,90.0
2020-07-29,101.0,106.0,78.0,97.0,88.0,88.0
2020-07-30,102.0,106.0,78.0,98.0,88.0,89.0
2020-07-31,101.0,107.0,77.0,95.0,88.0,86.0
2020-08-01,103.0,105.0,74.0,103.0,91.0,85.0
2020-08-02,102.0,105.0,71.0,109.0,90.0,85.0
2020-08-03,100.0,106.0,78.0,103.0,88.0,88.0
2020-08-04,105.0,106.0,78.0,108.0,87.0,92.0
2020-08-05,103.0,106.0,77.0,106.0,86.0,91.0
2020-08-06,103.0,106.0,77.0,104.0,86.0,91.0
2020-08-07,101.0,107.0,76.0,101.0,85.0,89.0
2020-08-08,102.0,105.0,75.0,100.0,88.0,86.0
2020-08-09,101.0,104.0,77.0,110.0,89.0,88.0
2020-08-10,104.0,119.0,58.0,136.0,36.0,108.0
2020-08-11,108.0,111.0,72.0,120.0,67.0,103.0
2020-08-12,108.0,111.0,71.0,123.0,63.0,103.0
2020-08-13,110.0,115.0,68.0,130.0,47.0,108.0
2020-08-14,106.0,118.0,66.0,129.0,43.0,101.0
2020-08-15,100.0,109.0,71.0,106.0,59.0,86.0
2020-08-16,97.0,105.0,70.0,95.0,82.0,81.0
2020-08-17,99.0,107.0,74.0,98.0,83.0,89.0
2020-08-18,102.0,107.0,75.0,107.0,85.0,92.0
2020-08-19,100.0,107.0,75.0,107.0,85.0,90.0
2020-08-20,102.0,107.0,75.0,101.0,85.0,91.0
2020-08-21,98.0,108.0,74.0,101.0,85.0,87.0
2020-08-22,100.0,106.0,72.0,97.0,87.0,86.0
2020-08-23,98.0,105.0,69.0,95.0,89.0,84.0
2020-08-24,98.0,106.0,77.0,102.0,88.0,89.0
2020-08-25,105.0,106.0,79.0,109.0,87.0,95.0
2020-08-26,101.0,106.0,78.0,107.0,87.0,91.0
2020-08-27,101.0,106.0,77.0,102.0,87.0,90.0
2020-08-28,100.0,107.0,76.0,104.0,87.0,89.0
2020-08-29,102.0,105.0,74.0,105.0,88.0,89.0
2020-08-30,101.0,105.0,71.0,101.0,89.0,89.0
2020-08-31,100.0,106.0,78.0,103.0,89.0,91.0
2020-09-01,103.0,106.0,79.0,112.0,88.0,93.0
2020-09-02,99.0,106.0,76.0,104.0,87.0,89.0
2020-09-03,101.0,106.0,77.0,104.0,87.0,91.0
2020-09-04,101.0,107.0,77.0,103.0,87.0,91.0
2020-09-05,104.0,106.0,73.0,100.0,88.0,92.0
2020-09-06,94.0,106.0,65.0,87.0,86.0,82.0
2020-09-07,89.0,109.0,72.0,92.0,81.0,82.0
2020-09-08,104.0,105.0,80.0,118.0,87.0,96.0
2020-09-09,100.0,105.0,80.0,118.0,87.0,93.0
2020-09-10,104.0,105.0,81.0,120.0,87.0,97.0
2020-09-11,101.0,106.0,80.0,119.0,87.0,94.0
2020-09-12,,105.0,,,85.0,
2020-09-13,,103.0,,,89.0,
2020-09-14,,104.0,,,89.0,
2020-09-15,,104.0,,,89.0,
2020-09-16,,104.0,,,88.0,
2020-09-17,,104.0,,,88.0,
2020-09-18,,105.0,,,88.0,
2020-09-19,,102.0,,,90.0,
2020-09-20,,100.0,,,90.0,
2020-09-21,,114.0,,,38.0,
2020-09-22,,116.0,,,40.0,
2020-09-23,,105.0,,,90.0,
2020-09-24,,106.0,,,88.0,
2020-09-25,,107.0,,,89.0,
2020-09-26,,105.0,,,92.0,
2020-09-27,,103.0,,,92.0,
2020-09-28,101.0,104.0,85.0,102.0,91.0,93.0
2020-09-29,103.0,104.0,84.0,106.0,91.0,96.0
2020-09-30,105.0,103.0,84.0,104.0,92.0,95.0
2020-10-01,101.0,104.0,82.0,97.0,92.0,91.0
2020-10-02,98.0,105.0,81.0,102.0,91.0,89.0
2020-10-03,101.0,104.0,83.0,111.0,91.0,91.0
2020-10-04,100.0,103.0,82.0,112.0,92.0,90.0
2020-10-05,98.0,104.0,83.0,96.0,91.0,89.0
2020-10-06,101.0,104.0,84.0,107.0,91.0,94.0
2020-10-07,98.0,104.0,83.0,98.0,91.0,90.0
2020-10-08,93.0,106.0,80.0,70.0,90.0,85.0
2020-10-09,93.0,107.0,79.0,74.0,89.0,83.0
2020-10-10,93.0,108.0,70.0,67.0,84.0,83.0
2020-10-11,102.0,103.0,82.0,107.0,93.0,92.0
2020-10-12,98.0,104.0,83.0,100.0,91.0,90.0
2020-10-13,101.0,104.0,84.0,108.0,91.0,93.0
2020-10-14,99.0,104.0,84.0,108.0,91.0,92.0
