dates,Denmark.JHU_ConfirmedCases.data,Denmark.JHU_ConfirmedDeaths.data,Denmark.JHU_ConfirmedRecoveries.data
2020-08-07,14747.0,617.0,
2020-08-08,14751.0,617.0,
2020-08-09,14759.0,617.0,
2020-08-10,15135.0,620.0,
2020-08-11,15291.0,621.0,
2020-08-12,15423.0,621.0,
2020-08-13,15590.0,621.0,
2020-08-14,15758.0,621.0,
2020-08-15,15867.0,621.0,
2020-08-16,16003.0,621.0,
2020-08-17,16127.0,621.0,
2020-08-18,16246.0,621.0,
2020-08-19,16336.0,621.0,
2020-08-20,16453.0,621.0,
2020-08-21,16525.0,621.0,
2020-08-22,16637.0,622.0,
2020-08-23,16715.0,622.0,
2020-08-24,16821.0,623.0,
2020-08-25,16905.0,623.0,
2020-08-26,16962.0,623.0,
2020-08-27,17052.0,624.0,
2020-08-28,17125.0,624.0,
2020-08-29,17204.0,624.0,
2020-08-30,17316.0,624.0,
2020-08-31,17410.0,624.0,
2020-09-01,17509.0,625.0,
2020-09-02,17620.0,626.0,
2020-09-03,17800.0,626.0,
2020-09-04,17974.0,627.0,
2020-09-05,18163.0,627.0,
2020-09-06,18310.0,627.0,
2020-09-07,18540.0,628.0,
2020-09-08,18784.0,628.0,
2020-09-09,19036.0,628.0,
2020-09-10,19353.0,629.0,
2020-09-11,19646.0,629.0,
2020-09-12,19989.0,630.0,
2020-09-13,20327.0,631.0,
2020-09-14,20674.0,633.0,
2020-09-15,21013.0,633.0,
2020-09-16,21013.0,633.0,
2020-09-17,21836.0,635.0,
2020-09-18,22291.0,635.0,
2020-09-19,22881.0,635.0,
2020-09-20,23353.0,638.0,
2020-09-21,23774.0,640.0,
2020-09-22,24261.0,641.0,
2020-09-23,24822.0,643.0,
2020-09-24,25385.0,645.0,
2020-09-25,26066.0,647.0,
2020-09-26,26687.0,648.0,
2020-09-27,27111.0,649.0,
2020-09-28,27546.0,649.0,
2020-09-29,27941.0,650.0,
2020-09-30,28479.0,650.0,
2020-10-01,28882.0,651.0,
2020-10-02,29418.0,652.0,
2020-10-03,29789.0,654.0,
2020-10-04,30168.0,658.0,
2020-10-05,30546.0,659.0,
2020-10-06,30868.0,663.0,
2020-10-07,31201.0,663.0,
2020-10-08,31648.0,665.0,
2020-10-09,32131.0,665.0,
2020-10-10,32575.0,667.0,
2020-10-11,32915.0,669.0,
2020-10-12,33304.0,671.0,
2020-10-13,33594.0,674.0,
2020-10-14,34087.0,675.0,
