dates,Brazil.JHU_ConfirmedCases.data,Brazil.JHU_ConfirmedDeaths.data,Brazil.JHU_ConfirmedRecoveries.data
2020-07-29,2552265.0,90134.0,
2020-07-30,2610102.0,91263.0,
2020-07-31,2662485.0,92475.0,
2020-08-01,2707877.0,93563.0,
2020-08-02,2733677.0,94104.0,
2020-08-03,2750318.0,94665.0,
2020-08-04,2801921.0,95819.0,
2020-08-05,2859073.0,97256.0,
2020-08-06,2912212.0,98493.0,
2020-08-07,2962442.0,99572.0,
2020-08-08,3012412.0,100477.0,
2020-08-09,3035422.0,101049.0,
2020-08-10,3057470.0,101752.0,
2020-08-11,3057470.0,101752.0,
2020-08-12,3164785.0,104201.0,
2020-08-13,3224876.0,105463.0,
2020-08-14,3226443.0,105490.0,
2020-08-15,3317096.0,107232.0,
2020-08-16,3340197.0,107852.0,
2020-08-17,3359570.0,108536.0,
2020-08-18,3407354.0,109888.0,
2020-08-19,3456652.0,111100.0,
2020-08-20,3501975.0,112304.0,
2020-08-21,3532330.0,113358.0,
2020-08-22,3582362.0,114250.0,
2020-08-23,3605783.0,114744.0,
2020-08-24,3622861.0,115309.0,
2020-08-25,3669995.0,116580.0,
2020-08-26,3717156.0,117665.0,
2020-08-27,3761391.0,118649.0,
2020-08-28,3804803.0,119504.0,
2020-08-29,3846153.0,120262.0,
2020-08-30,3862311.0,120828.0,
2020-08-31,3908272.0,121381.0,
2020-09-01,3950931.0,122596.0,
2020-09-02,3997865.0,123780.0,
2020-09-03,4041638.0,124614.0,
2020-09-04,4091801.0,125502.0,
2020-09-05,4123000.0,126203.0,
2020-09-06,4137521.0,126650.0,
2020-09-07,4147794.0,126960.0,
2020-09-08,4162073.0,127464.0,
2020-09-09,4197889.0,128539.0,
2020-09-10,4238446.0,129522.0,
2020-09-11,4282164.0,130396.0,
2020-09-12,4315687.0,131210.0,
2020-09-13,4330455.0,131625.0,
2020-09-14,4345610.0,132006.0,
2020-09-15,4382263.0,133119.0,
2020-09-16,4419083.0,134106.0,
2020-09-17,4455386.0,134935.0,
2020-09-18,4495183.0,135793.0,
2020-09-19,4528240.0,136532.0,
2020-09-20,4544629.0,136895.0,
2020-09-21,4558040.0,137272.0,
2020-09-22,4591364.0,138105.0,
2020-09-23,4591364.0,138105.0,
2020-09-24,4657702.0,139808.0,
2020-09-25,4689613.0,140537.0,
2020-09-26,4717991.0,141406.0,
2020-09-27,4732309.0,141741.0,
2020-09-28,4745464.0,142058.0,
2020-09-29,4777522.0,142921.0,
2020-09-30,4810935.0,143952.0,
2020-10-01,4847092.0,144680.0,
2020-10-02,4847092.0,144680.0,
2020-10-03,4906833.0,145987.0,
2020-10-04,4915289.0,146352.0,
2020-10-05,4927235.0,146675.0,
2020-10-06,4969141.0,147494.0,
2020-10-07,5000694.0,148228.0,
2020-10-08,5028444.0,148957.0,
2020-10-09,5055888.0,149639.0,
2020-10-10,5055888.0,149639.0,
2020-10-11,5094979.0,150488.0,
2020-10-12,5103408.0,150689.0,
2020-10-13,5113628.0,150998.0,
2020-10-14,5140863.0,151747.0,
