dates,Mexico.JHU_ConfirmedCases.data,Mexico.JHU_ConfirmedDeaths.data,Mexico.JHU_ConfirmedRecoveries.data
2020-08-01,434193.0,47472.0,
2020-08-02,439046.0,47746.0,
2020-08-03,443813.0,48012.0,
2020-08-04,449961.0,48869.0,
2020-08-05,456100.0,49698.0,
2020-08-06,462690.0,50517.0,
2020-08-07,469407.0,51311.0,
2020-08-08,475902.0,52006.0,
2020-08-09,480278.0,52298.0,
2020-08-10,485836.0,53003.0,
2020-08-11,492522.0,53929.0,
2020-08-12,498380.0,54666.0,
2020-08-13,505751.0,55293.0,
2020-08-14,511369.0,55908.0,
2020-08-15,517714.0,56543.0,
2020-08-16,522162.0,56757.0,
2020-08-17,525733.0,57023.0,
2020-08-18,531239.0,57774.0,
2020-08-19,537031.0,58481.0,
2020-08-20,543806.0,59106.0,
2020-08-21,549734.0,59610.0,
2020-08-22,556216.0,60254.0,
2020-08-23,560164.0,60480.0,
2020-08-24,563705.0,60800.0,
2020-08-25,568621.0,61450.0,
2020-08-26,573888.0,62076.0,
2020-08-27,579914.0,62594.0,
2020-08-28,585738.0,63146.0,
2020-08-29,591712.0,63819.0,
2020-08-30,595841.0,64158.0,
2020-08-31,599560.0,64414.0,
2020-09-01,606036.0,65241.0,
2020-09-02,610957.0,65816.0,
2020-09-03,616894.0,66329.0,
2020-09-04,623090.0,66851.0,
2020-09-05,629409.0,67326.0,
2020-09-06,634023.0,67558.0,
2020-09-07,637509.0,67781.0,
2020-09-08,642860.0,68484.0,
2020-09-09,647321.0,69049.0,
2020-09-10,652364.0,69649.0,
2020-09-11,658299.0,70183.0,
2020-09-12,663973.0,70604.0,
2020-09-13,668381.0,70821.0,
2020-09-14,671716.0,71049.0,
2020-09-15,676487.0,71678.0,
2020-09-16,680931.0,71978.0,
2020-09-17,684113.0,72179.0,
2020-09-18,688954.0,72803.0,
2020-09-19,694121.0,73258.0,
2020-09-20,697663.0,73493.0,
2020-09-21,700580.0,73697.0,
2020-09-22,705263.0,74348.0,
2020-09-23,710049.0,74949.0,
2020-09-24,715457.0,75439.0,
2020-09-25,720858.0,75844.0,
2020-09-26,726431.0,76243.0,
2020-09-27,730317.0,76430.0,
2020-09-28,733717.0,76603.0,
2020-09-29,738163.0,77163.0,
2020-09-30,743216.0,77646.0,
2020-10-01,748315.0,78078.0,
2020-10-02,753090.0,78492.0,
2020-10-03,757953.0,78880.0,
2020-10-04,761665.0,79088.0,
2020-10-05,789780.0,81877.0,
2020-10-06,794608.0,82348.0,
2020-10-07,799188.0,82726.0,
2020-10-08,804488.0,83096.0,
2020-10-09,810020.0,83497.0,
2020-10-10,814328.0,83642.0,
2020-10-11,817503.0,83781.0,
2020-10-12,821045.0,83945.0,
2020-10-13,825340.0,84420.0,
2020-10-14,829396.0,84898.0,
