dates,KoreaSouth.JHU_ConfirmedCases.data,KoreaSouth.JHU_ConfirmedDeaths.data,KoreaSouth.JHU_ConfirmedRecoveries.data
2020-04-30,10774.0,248.0,
2020-05-01,10780.0,250.0,
2020-05-02,10793.0,250.0,
2020-05-03,10801.0,252.0,
2020-05-04,10804.0,254.0,
2020-05-05,10806.0,255.0,
2020-05-06,10810.0,256.0,
2020-05-07,10822.0,256.0,
2020-05-08,10840.0,256.0,
2020-05-09,10874.0,256.0,
2020-05-10,10909.0,256.0,
2020-05-11,10936.0,258.0,
2020-05-12,10962.0,259.0,
2020-05-13,10991.0,260.0,
2020-05-14,11018.0,260.0,
2020-05-15,11037.0,262.0,
2020-05-16,11050.0,262.0,
2020-05-17,11065.0,263.0,
2020-05-18,11078.0,263.0,
2020-05-19,11110.0,263.0,
2020-05-20,11122.0,264.0,
2020-05-21,11142.0,264.0,
2020-05-22,11165.0,266.0,
2020-05-23,11190.0,266.0,
2020-05-24,11206.0,267.0,
2020-05-25,11225.0,269.0,
2020-05-26,11265.0,269.0,
2020-05-27,11344.0,269.0,
2020-05-28,11402.0,269.0,
2020-05-29,11441.0,269.0,
2020-05-30,11468.0,270.0,
2020-05-31,11503.0,271.0,
2020-06-01,11541.0,272.0,
2020-06-02,11590.0,273.0,
2020-06-03,11629.0,273.0,
2020-06-04,11668.0,273.0,
2020-06-05,11719.0,273.0,
2020-06-06,11776.0,273.0,
2020-06-07,11814.0,273.0,
2020-06-08,11852.0,274.0,
2020-06-09,11902.0,276.0,
2020-06-10,11947.0,276.0,
2020-06-11,12003.0,277.0,
2020-06-12,12051.0,277.0,
2020-06-13,12085.0,277.0,
2020-06-14,12121.0,277.0,
2020-06-15,12155.0,278.0,
2020-06-16,12198.0,279.0,
2020-06-17,12257.0,280.0,
2020-06-18,12306.0,280.0,
2020-06-19,12373.0,280.0,
2020-06-20,12421.0,280.0,
2020-06-21,12438.0,280.0,
2020-06-22,12484.0,281.0,
2020-06-23,12535.0,281.0,
2020-06-24,12563.0,282.0,
2020-06-25,12602.0,282.0,
2020-06-26,12653.0,282.0,
2020-06-27,12715.0,282.0,
2020-06-28,12757.0,282.0,
2020-06-29,12800.0,282.0,
2020-06-30,12850.0,282.0,
2020-07-01,12904.0,282.0,
2020-07-02,12967.0,282.0,
2020-07-03,13030.0,283.0,
2020-07-04,13091.0,283.0,
2020-07-05,13137.0,284.0,
2020-07-06,13181.0,285.0,
2020-07-07,13244.0,285.0,
2020-07-08,13293.0,287.0,
2020-07-09,13338.0,288.0,
2020-07-10,13373.0,288.0,
2020-07-11,13417.0,289.0,
2020-07-12,13479.0,289.0,
2020-07-13,13512.0,289.0,
2020-07-14,13551.0,289.0,
2020-07-15,13612.0,291.0,
2020-07-16,13672.0,293.0,
2020-07-17,13711.0,294.0,
2020-07-18,13745.0,295.0,
2020-07-19,13771.0,296.0,
2020-07-20,13816.0,296.0,
2020-07-21,13879.0,297.0,
2020-07-22,13938.0,297.0,
2020-07-23,13979.0,298.0,
2020-07-24,14092.0,298.0,
2020-07-25,14150.0,298.0,
2020-07-26,14175.0,299.0,
2020-07-27,14203.0,300.0,
2020-07-28,14251.0,300.0,
2020-07-29,14269.0,300.0,
2020-07-30,14305.0,301.0,
2020-07-31,14336.0,301.0,
2020-08-01,14366.0,301.0,
2020-08-02,14389.0,301.0,
2020-08-03,14423.0,301.0,
2020-08-04,14456.0,302.0,
2020-08-05,14499.0,302.0,
2020-08-06,14519.0,303.0,
2020-08-07,14562.0,304.0,
2020-08-08,14598.0,305.0,
2020-08-09,14626.0,305.0,
2020-08-10,14660.0,305.0,
2020-08-11,14714.0,305.0,
2020-08-12,14770.0,305.0,
2020-08-13,14873.0,305.0,
2020-08-14,15039.0,305.0,
2020-08-15,15318.0,305.0,
2020-08-16,15515.0,305.0,
2020-08-17,15761.0,306.0,
2020-08-18,16058.0,306.0,
2020-08-19,16346.0,307.0,
2020-08-20,16670.0,309.0,
2020-08-21,17002.0,309.0,
2020-08-22,17399.0,309.0,
2020-08-23,17665.0,309.0,
2020-08-24,17945.0,310.0,
2020-08-25,18265.0,312.0,
2020-08-26,18706.0,313.0,
2020-08-27,19077.0,316.0,
2020-08-28,19400.0,321.0,
2020-08-29,19699.0,323.0,
2020-08-30,19947.0,324.0,
2020-08-31,20182.0,324.0,
2020-09-01,20449.0,326.0,
2020-09-02,20644.0,329.0,
2020-09-03,20842.0,331.0,
2020-09-04,21010.0,333.0,
2020-09-05,21177.0,334.0,
2020-09-06,21296.0,336.0,
2020-09-07,21432.0,341.0,
2020-09-08,21588.0,344.0,
2020-09-09,21743.0,346.0,
2020-09-10,21919.0,350.0,
2020-09-11,22055.0,355.0,
2020-09-12,22176.0,358.0,
2020-09-13,22285.0,363.0,
2020-09-14,22391.0,367.0,
2020-09-15,22504.0,367.0,
2020-09-16,22657.0,372.0,
2020-09-17,22783.0,377.0,
2020-09-18,22893.0,378.0,
2020-09-19,22975.0,383.0,
2020-09-20,23045.0,385.0,
2020-09-21,23106.0,388.0,
2020-09-22,23216.0,388.0,
2020-09-23,23341.0,393.0,
2020-09-24,23455.0,395.0,
2020-09-25,23516.0,399.0,
2020-09-26,23611.0,401.0,
2020-09-27,23661.0,406.0,
2020-09-28,23699.0,407.0,
2020-09-29,23812.0,413.0,
2020-09-30,23889.0,415.0,
2020-10-01,23952.0,416.0,
2020-10-02,24027.0,420.0,
2020-10-03,24091.0,421.0,
2020-10-04,24164.0,422.0,
2020-10-05,24239.0,422.0,
2020-10-06,24353.0,425.0,
2020-10-07,24422.0,427.0,
2020-10-08,24476.0,428.0,
2020-10-09,24548.0,430.0,
2020-10-10,24606.0,432.0,
2020-10-11,24703.0,433.0,
2020-10-12,24805.0,434.0,
2020-10-13,24889.0,438.0,
2020-10-14,24988.0,439.0,
