dates,UnitedStates.JHU_ConfirmedCases.data,UnitedStates.JHU_ConfirmedDeaths.data,UnitedStates.JHU_ConfirmedRecoveries.data
2020-06-02,1839477.0,106225.0,
2020-06-03,1859176.0,107220.0,
2020-06-04,1880316.0,108256.0,
2020-06-05,1905036.0,109177.0,
2020-06-06,1927717.0,109847.0,
2020-06-07,1951301.0,110570.0,
2020-06-08,1968553.0,111035.0,
2020-06-09,1987145.0,112034.0,
2020-06-10,2008120.0,112969.0,
2020-06-11,2031003.0,113865.0,
2020-06-12,2056642.0,114714.0,
2020-06-13,2082182.0,115481.0,
2020-06-14,2101714.0,115777.0,
2020-06-15,2121682.0,116172.0,
2020-06-16,2145387.0,117008.0,
2020-06-17,2170946.0,117762.0,
2020-06-18,2198709.0,118485.0,
2020-06-19,2230468.0,119170.0,
2020-06-20,2262775.0,119764.0,
2020-06-21,2288946.0,120022.0,
2020-06-22,2319956.0,120447.0,
2020-06-23,2354678.0,121273.0,
2020-06-24,2389017.0,122024.0,
2020-06-25,2429955.0,124455.0,
2020-06-26,2475210.0,125084.0,
2020-06-27,2517807.0,125584.0,
2020-06-28,2556652.0,125848.0,
2020-06-29,2884262.0,143985.0,
2020-06-30,2935353.0,145373.0,
2020-07-01,2980548.0,145963.0,
2020-07-02,2747940.0,128805.0,
2020-07-03,2802214.0,129499.0,
2020-07-04,2847497.0,129741.0,
2020-07-05,2896696.0,130012.0,
2020-07-06,2944138.0,130350.0,
2020-07-07,3004159.0,131545.0,
2020-07-08,3062760.0,132365.0,
2020-07-09,3126007.0,133355.0,
2020-07-10,3192634.0,134157.0,
2020-07-11,3253986.0,134842.0,
2020-07-12,3313003.0,135270.0,
2020-07-13,3371117.0,135670.0,
2020-07-14,3439635.0,136531.0,
2020-07-15,3505908.0,137472.0,
2020-07-16,3584218.0,138423.0,
2020-07-17,3655776.0,139331.0,
2020-07-18,3719474.0,140184.0,
2020-07-19,3781321.0,140599.0,
2020-07-20,3838071.0,140971.0,
2020-07-21,3907271.0,142060.0,
2020-07-22,3978966.0,143255.0,
2020-07-23,4046808.0,144369.0,
2020-07-24,4120591.0,145611.0,
2020-07-25,4186081.0,146525.0,
2020-07-26,4241983.0,147000.0,
2020-07-27,4298319.0,148076.0,
2020-07-28,4360057.0,149321.0,
2020-07-29,4435042.0,150778.0,
2020-07-30,4502661.0,152120.0,
2020-07-31,4570098.0,153379.0,
2020-08-01,4628099.0,154492.0,
2020-08-02,4675610.0,154905.0,
2020-08-03,4721195.0,155447.0,
2020-08-04,4778735.0,156846.0,
2020-08-05,4831545.0,158295.0,
2020-08-06,4891237.0,160149.0,
2020-08-07,4949410.0,161392.0,
2020-08-08,5005584.0,162468.0,
2020-08-09,5052519.0,162983.0,
2020-08-10,5102055.0,163508.0,
2020-08-11,5148738.0,164582.0,
2020-08-12,5204648.0,166071.0,
2020-08-13,5256384.0,167155.0,
2020-08-14,5320585.0,168491.0,
2020-08-15,5368695.0,169526.0,
2020-08-16,5410743.0,170097.0,
2020-08-17,5445855.0,170542.0,
2020-08-18,5489946.0,171866.0,
2020-08-19,5537354.0,173222.0,
2020-08-20,5581377.0,174300.0,
2020-08-21,5630070.0,175408.0,
2020-08-22,5674642.0,176398.0,
2020-08-23,5709209.0,176847.0,
2020-08-24,5747254.0,177297.0,
2020-08-25,5785240.0,178531.0,
2020-08-26,5829349.0,179753.0,
2020-08-27,5875315.0,180869.0,
2020-08-28,5921471.0,181845.0,
2020-08-29,5968624.0,182806.0,
2020-08-30,6003961.0,183111.0,
2020-08-31,6030587.0,183597.0,
2020-09-01,6073840.0,184664.0,
2020-09-02,6113510.0,185720.0,
2020-09-03,6150016.0,186790.0,
2020-09-04,6200518.0,187755.0,
2020-09-05,6244970.0,188538.0,
2020-09-06,6276365.0,188941.0,
2020-09-07,6300622.0,189208.0,
2020-09-08,6327009.0,189653.0,
2020-09-09,6361265.0,190859.0,
2020-09-10,6396551.0,191766.0,
2020-09-11,6443743.0,192979.0,
2020-09-12,6485214.0,193693.0,
2020-09-13,6519573.0,194071.0,
2020-09-14,6553399.0,194489.0,
2020-09-15,6593269.0,195786.0,
2020-09-16,6630051.0,196763.0,
2020-09-17,6674411.0,197633.0,
2020-09-18,6723933.0,198570.0,
2020-09-19,6774114.0,199282.0,
2020-09-20,6810879.0,199509.0,
2020-09-21,6856884.0,199865.0,
2020-09-22,6896218.0,200786.0,
2020-09-23,6933548.0,201884.0,
2020-09-24,6977658.0,202798.0,
2020-09-25,7032712.0,203750.0,
2020-09-26,7078089.0,204490.0,
2020-09-27,7115008.0,204756.0,
2020-09-28,7148045.0,205072.0,
2020-09-29,7190230.0,205986.0,
2020-09-30,7233042.0,206932.0,
2020-10-01,7277759.0,207789.0,
2020-10-02,7332200.0,208695.0,
2020-10-03,7382194.0,209382.0,
2020-10-04,7420971.0,209794.0,
2020-10-05,7457402.0,210181.0,
2020-10-06,7500964.0,210886.0,
2020-10-07,7549682.0,211801.0,
2020-10-08,7605873.0,212762.0,
2020-10-09,7663293.0,213752.0,
2020-10-10,7717932.0,214370.0,
2020-10-11,7762546.0,214768.0,
2020-10-12,7804199.0,215085.0,
2020-10-13,7856605.0,215887.0,
2020-10-14,7916099.0,216872.0,
