dates,SouthAfrica.JHU_ConfirmedCases.data,SouthAfrica.JHU_ConfirmedDeaths.data,SouthAfrica.JHU_ConfirmedRecoveries.data
2020-08-03,516862.0,8539.0,
2020-08-04,521318.0,8884.0,
2020-08-05,529877.0,9298.0,
2020-08-06,538184.0,9604.0,
2020-08-07,545476.0,9909.0,
2020-08-08,553188.0,10210.0,
2020-08-09,559859.0,10408.0,
2020-08-10,563598.0,10621.0,
2020-08-11,566109.0,10751.0,
2020-08-12,568919.0,11010.0,
2020-08-13,572865.0,11270.0,
2020-08-14,579140.0,11556.0,
2020-08-15,583653.0,11677.0,
2020-08-16,587345.0,11839.0,
2020-08-17,589886.0,11982.0,
2020-08-18,592144.0,12264.0,
2020-08-19,596060.0,12423.0,
2020-08-20,599940.0,12618.0,
2020-08-21,603338.0,12843.0,
2020-08-22,607045.0,12987.0,
2020-08-23,609773.0,13059.0,
2020-08-24,611450.0,13159.0,
2020-08-25,613017.0,13308.0,
2020-08-26,615701.0,13502.0,
2020-08-27,618286.0,13628.0,
2020-08-28,620132.0,13743.0,
2020-08-29,622551.0,13981.0,
2020-08-30,625056.0,14028.0,
2020-08-31,627041.0,14149.0,
2020-09-01,628259.0,14263.0,
2020-09-02,630595.0,14389.0,
2020-09-03,633015.0,14563.0,
2020-09-04,635078.0,14678.0,
2020-09-05,636884.0,14779.0,
2020-09-06,638517.0,14889.0,
2020-09-07,639362.0,15004.0,
2020-09-08,640441.0,15086.0,
2020-09-09,642431.0,15168.0,
2020-09-10,644438.0,15265.0,
2020-09-11,646398.0,15378.0,
2020-09-12,648214.0,15427.0,
2020-09-13,649793.0,15447.0,
2020-09-14,650749.0,15499.0,
2020-09-15,651521.0,15641.0,
2020-09-16,653444.0,15705.0,
2020-09-17,655572.0,15772.0,
2020-09-18,657627.0,15857.0,
2020-09-19,659656.0,15940.0,
2020-09-20,661211.0,15953.0,
2020-09-21,661936.0,15992.0,
2020-09-22,663282.0,16118.0,
2020-09-23,665188.0,16206.0,
2020-09-24,667049.0,16283.0,
2020-09-25,668529.0,16312.0,
2020-09-26,669498.0,16376.0,
2020-09-27,670766.0,16398.0,
2020-09-28,671669.0,16586.0,
2020-09-29,672572.0,16667.0,
2020-09-30,674339.0,16734.0,
2020-10-01,676084.0,16866.0,
2020-10-02,677833.0,16909.0,
2020-10-03,679716.0,16938.0,
2020-10-04,681289.0,16976.0,
2020-10-05,682215.0,17016.0,
2020-10-06,683242.0,17103.0,
2020-10-07,685155.0,17248.0,
2020-10-08,686891.0,17408.0,
2020-10-09,688352.0,17547.0,
2020-10-10,690896.0,17673.0,
2020-10-11,692471.0,17780.0,
2020-10-12,693359.0,17863.0,
2020-10-13,694537.0,18028.0,
2020-10-14,696414.0,18151.0,
