startDate,policyType,name,location.id
2020-03-18T00:00:00Z,C1, School closing,India
2020-03-25T00:00:00Z,C2, Workplace closing,India
2020-03-25T00:00:00Z,C3, Cancel public events,India
2020-03-25T00:00:00Z,C4, Restrictions on gatherings,India
2020-03-25T00:00:00Z,C5, Close public transport,India
2020-03-25T00:00:00Z,C6, Stay at home requirements,India
2020-03-25T00:00:00Z,C7, Restrictions on internal movement,India
2020-03-26T00:00:00Z,E1, Income support,India
2020-03-01T00:00:00Z,E2, Debt/contract relief,India
2020-03-26T00:00:00Z,C1, School closing,Indonesia
2020-03-15T00:00:00Z,C2, Workplace closing,Indonesia
2020-03-23T00:00:00Z,C3, Cancel public events,Indonesia
2020-04-07T00:00:00Z,C4, Restrictions on gatherings,Indonesia
2020-03-23T00:00:00Z,C5, Close public transport,Indonesia
2020-04-10T00:00:00Z,C6, Stay at home requirements,Indonesia
2020-04-24T00:00:00Z,C7, Restrictions on internal movement,Indonesia
2020-04-28T00:00:00Z,E1, Income support,Indonesia
2020-04-01T00:00:00Z,E2, Debt/contract relief,Indonesia
2020-03-02T00:00:00Z,C1, School closing,Japan
2020-04-07T00:00:00Z,C2, Workplace closing,Japan
2020-03-20T00:00:00Z,C3, Cancel public events,Japan
2020-04-07T00:00:00Z,C6, Stay at home requirements,Japan
2020-04-17T00:00:00Z,C7, Restrictions on internal movement,Japan
2020-04-16T00:00:00Z,E1, Income support,Japan
2020-03-16T00:00:00Z,E2, Debt/contract relief,Japan
2020-03-18T00:00:00Z,C1, School closing,Malaysia
2020-03-18T00:00:00Z,C2, Workplace closing,Malaysia
2020-03-18T00:00:00Z,C3, Cancel public events,Malaysia
2020-03-18T00:00:00Z,C4, Restrictions on gatherings,Malaysia
2020-03-23T00:00:00Z,C5, Close public transport,Malaysia
2020-03-18T00:00:00Z,C6, Stay at home requirements,Malaysia
2020-03-18T00:00:00Z,C7, Restrictions on internal movement,Malaysia
2020-04-06T00:00:00Z,E1, Income support,Malaysia
2020-04-01T00:00:00Z,E2, Debt/contract relief,Malaysia
2020-03-24T00:00:00Z,C1, School closing,NewZealand
2020-03-25T00:00:00Z,C2, Workplace closing,NewZealand
2020-03-26T00:00:00Z,C3, Cancel public events,NewZealand
2020-03-26T00:00:00Z,C4, Restrictions on gatherings,NewZealand
2020-03-26T00:00:00Z,C5, Close public transport,NewZealand
2020-03-26T00:00:00Z,C6, Stay at home requirements,NewZealand
2020-03-26T00:00:00Z,C7, Restrictions on internal movement,NewZealand
2020-03-17T00:00:00Z,E1, Income support,NewZealand
2020-03-24T00:00:00Z,E2, Debt/contract relief,NewZealand
2020-03-15T00:00:00Z,C1, School closing,Philippines
2020-03-18T00:00:00Z,C2, Workplace closing,Philippines
2020-03-18T00:00:00Z,C3, Cancel public events,Philippines
2020-03-18T00:00:00Z,C4, Restrictions on gatherings,Philippines
2020-03-18T00:00:00Z,C5, Close public transport,Philippines
2020-03-18T00:00:00Z,C6, Stay at home requirements,Philippines
2020-03-18T00:00:00Z,C7, Restrictions on internal movement,Philippines
2020-04-13T00:00:00Z,E1, Income support,Philippines
2020-07-03T00:00:00Z,E1, Income support,Philippines
2020-03-17T00:00:00Z,E2, Debt/contract relief,Philippines
2020-02-24T00:00:00Z,C1, School closing,KoreaSouth
2020-05-29T00:00:00Z,C1, School closing,KoreaSouth
2020-03-22T00:00:00Z,C2, Workplace closing,KoreaSouth
2020-05-29T00:00:00Z,C2, Workplace closing,KoreaSouth
2020-04-03T00:00:00Z,C3, Cancel public events,KoreaSouth
2020-05-29T00:00:00Z,C3, Cancel public events,KoreaSouth
2020-04-04T00:00:00Z,C4, Restrictions on gatherings,KoreaSouth
2020-05-29T00:00:00Z,C4, Restrictions on gatherings,KoreaSouth
2020-03-16T00:00:00Z,C5, Close public transport,KoreaSouth
2020-04-18T00:00:00Z,C6, Stay at home requirements,KoreaSouth
2020-05-29T00:00:00Z,C6, Stay at home requirements,KoreaSouth
2020-03-21T00:00:00Z,C7, Restrictions on internal movement,KoreaSouth
2020-05-29T00:00:00Z,C7, Restrictions on internal movement,KoreaSouth
2020-03-30T00:00:00Z,E1, Income support,KoreaSouth
2020-03-17T00:00:00Z,E2, Debt/contract relief,KoreaSouth
2020-04-03T00:00:00Z,C1, School closing,Singapore
2020-04-07T00:00:00Z,C2, Workplace closing,Singapore
2020-03-27T00:00:00Z,C3, Cancel public events,Singapore
2020-04-08T00:00:00Z,C4, Restrictions on gatherings,Singapore
2020-04-14T00:00:00Z,C5, Close public transport,Singapore
2020-04-08T00:00:00Z,C6, Stay at home requirements,Singapore
2020-04-08T00:00:00Z,C7, Restrictions on internal movement,Singapore
2020-04-01T00:00:00Z,E1, Income support,Singapore
2020-04-20T00:00:00Z,E2, Debt/contract relief,Singapore
2020-03-18T00:00:00Z,C1, School closing,Thailand
2020-03-26T00:00:00Z,C2, Workplace closing,Thailand
2020-04-03T00:00:00Z,C3, Cancel public events,Thailand
2020-04-03T00:00:00Z,C4, Restrictions on gatherings,Thailand
2020-04-03T00:00:00Z,C5, Close public transport,Thailand
2020-04-03T00:00:00Z,C6, Stay at home requirements,Thailand
2020-03-26T00:00:00Z,C7, Restrictions on internal movement,Thailand
2020-04-01T00:00:00Z,E1, Income support,Thailand
2020-04-01T00:00:00Z,E2, Debt/contract relief,Thailand
2020-03-12T00:00:00Z,C1, School closing,Brazil
2020-03-19T00:00:00Z,C2, Workplace closing,Brazil
2020-03-12T00:00:00Z,C3, Cancel public events,Brazil
2020-03-21T00:00:00Z,C5, Close public transport,Brazil
2020-05-05T00:00:00Z,C6, Stay at home requirements,Brazil
2020-05-31T00:00:00Z,C7, Restrictions on internal movement,Brazil
2020-04-02T00:00:00Z,E1, Income support,Brazil
2020-03-17T00:00:00Z,E2, Debt/contract relief,Brazil
2020-01-25T00:00:00Z,C1, School closing,HongKong_China
2020-08-06T00:00:00Z,C2, Workplace closing,HongKong_China
2020-03-23T00:00:00Z,C2, Workplace closing,HongKong_China
2020-01-26T00:00:00Z,C3, Cancel public events,HongKong_China
2020-03-29T00:00:00Z,C4, Restrictions on gatherings,HongKong_China
2020-07-27T00:00:00Z,C4, Restrictions on gatherings,HongKong_China
2020-02-08T00:00:00Z,C6, Stay at home requirements,HongKong_China
2020-08-06T00:00:00Z,C7, Restrictions on internal movement,HongKong_China
2020-02-26T00:00:00Z,E1, Income support,HongKong_China
2020-02-26T00:00:00Z,E2, Debt/contract relief,HongKong_China
2020-03-31T00:00:00Z,C1, School closing,Canada
2020-04-01T00:00:00Z,C2, Workplace closing,Canada
2020-03-31T00:00:00Z,C3, Cancel public events,Canada
2020-03-16T00:00:00Z,C4, Restrictions on gatherings,Canada
2020-03-31T00:00:00Z,C5, Close public transport,Canada
2020-03-16T00:00:00Z,C6, Stay at home requirements,Canada
2020-06-26T00:00:00Z,C7, Restrictions on internal movement,Canada
2020-03-15T00:00:00Z,E1, Income support,Canada
2020-05-25T00:00:00Z,E2, Debt/contract relief,Canada
2020-03-23T00:00:00Z,C1, School closing,Mexico
2020-03-26T00:00:00Z,C2, Workplace closing,Mexico
2020-03-24T00:00:00Z,C3, Cancel public events,Mexico
2020-03-30T00:00:00Z,C4, Restrictions on gatherings,Mexico
2020-06-12T00:00:00Z,C5, Close public transport,Mexico
2020-03-30T00:00:00Z,C6, Stay at home requirements,Mexico
2020-03-30T00:00:00Z,C7, Restrictions on internal movement,Mexico
2020-04-17T00:00:00Z,E1, Income support,Mexico
2020-04-26T00:00:00Z,C1, School closing,UnitedStates
2020-03-19T00:00:00Z,C2, Workplace closing,UnitedStates
2020-03-01T00:00:00Z,C3, Cancel public events,UnitedStates
2020-03-13T00:00:00Z,C4, Restrictions on gatherings,UnitedStates
2020-08-29T00:00:00Z,C4, Restrictions on gatherings,UnitedStates
2020-03-17T00:00:00Z,C5, Close public transport,UnitedStates
2020-03-15T00:00:00Z,C6, Stay at home requirements,UnitedStates
2020-03-14T00:00:00Z,C7, Restrictions on internal movement,UnitedStates
2020-03-27T00:00:00Z,E1, Income support,UnitedStates
2020-03-27T00:00:00Z,E2, Debt/contract relief,UnitedStates
